FourLetId,ThreeLetId,Lat,Lon,PointGeoRefId,AirportGeoRefId
00C ,AMK,37.2032592593,-107.869212963,2587,
00M ,,31.9538425926,-89.2353703704,510001,
00R ,,30.6858796296,-95.0180277778,510002,
00V ,,38.9458796296,-104.5700092593,396,
01G ,,42.7415046296,-78.0522175926,510003,
01M ,,34.4916666667,-88.2011111111,510004,
02A ,,32.8506203704,-86.6114675926,510005,
02C ,,43.0875185185,-88.1779305556,510006,
02G ,,40.6734861111,-80.6414166667,2591,
03B ,,37.1268518519,-92.6217592593,510007,
03D ,,40.4472222222,-92.2269444444,510008,
04A ,,31.7363888889,-86.2626388889,510009,
04G ,,41.1306018519,-80.6196759259,1902,
04M ,,33.9301388889,-89.3434259259,510010,
04Y ,,46.883962963,-96.3504351852,510011,
05C ,,41.5199212963,-87.3995509259,510012,
05D ,,47.9669675926,-102.4780787037,510013,
05U ,EUE,39.6037962963,-116.0036111111,8417,
06A ,,32.4606018519,-85.6800601852,510014,
06C ,,41.9894583333,-88.1013287037,510015,
06D ,,48.8845833333,-99.6208796296,510016,
06FA,,26.9084305556,-80.3289722222,510017,
06M ,,33.5349074074,-89.3131481481,510018,
06U ,KPT,41.9761481481,-114.6581157407,8483,
07A ,,32.166912037,-85.8098287037,510019,
07F ,,32.5289907407,-94.9717962963,510020,
07FA,,25.3254675926,-80.2748101852,834,
07K ,,41.1126851852,-98.0517592593,510021,
07MT,,48.4212916667,-106.527837963,2676,
07R ,,27.6102777778,-97.7525462963,510022,
07V ,,37.5239675926,-105.009337963,510023,
08A ,,32.5294444444,-86.3283333333,510024,
08C ,,42.935875,-85.8050601852,510025,
08D ,,48.300962963,-102.4065138889,510026,
08K ,,40.6515694444,-98.0798287037,510027,
08M ,,32.761712963,-89.530462963,510028,
08MS,,34.6622222222222,-89.8683333333333,,
09A ,,32.119412037,-88.127625,510029,
09J ,,31.0744907407,-81.4277777778,510030,
09K ,,41.6350462963,-99.3422685185,510031,
09M ,,33.9915277778,-90.0787037037,510032,
09R ,,30.7748657407,-94.4589953704,510033,
0A2 ,,34.0905555556,-82.5653240741,510034,
0A3 ,,35.9853333333,-85.8094212963,510035,
0A4 ,,36.363787037,-82.3091157407,510036,
0A7 ,,35.3076944444,-82.4332546296,510037,
0A8 ,,32.9371203704,-87.0907268519,510038,
0A9 ,,36.3712962963,-82.1734722222,510039,
0B1 ,,44.4252777778,-70.8100462963,510040,
0B4 ,,42.6031111111,-97.2536111111,510041,
0B5 ,,42.5915324074,-72.5229259259,510042,
0C4 ,,42.1134768519,-96.727837963,510043,
0D8 ,,44.9868055556,-99.952962963,510044,
0E0 ,,34.9823148148,-106.0050462963,510045,
0E8 ,,35.7177638889,-108.2017361111,510046,
0F2 ,,33.6016666667,-97.7755648148,510047,
0F3 ,RTL,43.387625,-95.1393425926,510048,
0F4 ,,41.2866851852,-98.9903564815,510049,
0F7 ,,35.3887037037,-95.6002777778,510050,
0F9 ,,34.1986111111,-96.674537037,510051,
0G3 ,,40.4010231481,-96.1705509259,510052,
0G6 ,,41.4673611111,-84.5068518519,510053,
0G7 ,,42.8836712963,-76.7812731481,510054,
0H1 ,,39.0044583333,-99.8929814815,510055,
0I8 ,,38.3661990741,-84.2833518519,510056,
0J4 ,,31.0426435185,-86.3116759259,510057,
0J6 ,,31.3643009259,-85.3116944444,510058,
0J9 ,,40.8678703704,-97.3542407407,510059,
0K7 ,HUD,42.73625,-94.2454027778,510060,
0L7 ,,35.7684166667,-115.3297685185,510061,
0L9 ,,36.3112592593,-114.464037037,510062,
0M0 ,,33.8847731481,-91.5345787037,510063,
0M2 ,,36.4753703704,-89.3464351852,510064,
0M3 ,,35.5460648148,-87.5973935185,510065,
0M4 ,,36.0096064815,-88.1247314815,510066,
0M5 ,,36.1167175926,-87.7382314815,510067,
0M8 ,,32.825912037,-91.1877731481,510068,
0M9 ,,32.4108333333,-91.4986574074,510069,
0O2 ,,35.2863888889,-116.0815277778,510070,
0Q5 ,,40.0277407407,-124.0733842593,510071,
0R0 ,,31.2970509259,-89.8128611111,510072,
0R1 ,,31.016287037,-87.4468194444,510073,
0R3 ,,29.9759259259,-92.0842592593,510074,
0R4 ,,31.5619444444,-91.5064351852,510075,
0R5 ,,31.9636944444,-92.6604351852,510076,
0R6 ,,33.5226851852,-92.4602777778,510077,
0R7 ,,31.9904583333,-93.3076805556,510078,
0S0 ,,46.9769583333,-118.5872361111,510079,
0S7 ,,48.9590138889,-119.4119722222,510080,
0S9 ,TWD,48.0539398148,-122.8107037037,510081,
0TE7,,30.251912037,-98.6225509259,510082,
0TX1,,32.354125,-97.6764305556,510083,
0V3 ,,40.5150462963,-98.9456944444,510084,
0V4 ,,37.1417592593,-79.0163888889,510085,
0V6 ,,43.3069490741,-100.628287037,510086,
0V7 ,MVM,36.7097222222,-110.2368842593,510087,
0VG ,,36.654212963,-83.2178703704,510088,
10G ,,40.5373148148,-81.9544907407,510089,
10U ,,41.9533518519,-116.1876666667,510090,
11A ,,31.8833333333,-85.4853703704,510091,
11R ,,30.2198287037,-96.3745601852,510092,
12A ,,35.1775509259,-92.3351111111,510093,
12D ,,47.8182222222,-92.2862222222,510094,
12G ,,40.8729166667,-82.6975,510095,
12J ,,31.0508333333,-87.0660648148,510096,
12K ,,40.0465277778,-98.0601851852,510097,
12V ,,38.4409259259,-82.2009259259,510098,
12Y ,,44.437625,-93.9129027778,510099,
13C ,,43.4522638889,-85.2648564815,510100,
13K ,,37.851712963,-96.2917175926,510101,
14A ,,35.6140416667,-80.8996064815,510102,
14F ,,32.8498287037,-100.1368240741,510103,
14G ,,41.3331018519,-83.16125,510104,
14J ,,31.4100694444,-86.090375,510105,
14M ,,33.1827037037,-90.8307222222,510106,
